"NUMQ","FET","CONTFET","DELICTE","VEHIMV","ONV","CONFADR","MUNI_FET","MUNI_FET_1A3","DISTRICTE_FET","BARRI_FET","BARRI_FET_TOTAMB","ONP","ESTACIO_FET","TRANSP_FET","TRANSP_LINIA_FET","TRANSP_ESTACIO_LINIA_FET","VAL_AFEC","NOT_AGRE_1A3","QUI01_AGRE","SIG","MOT_A","MOT_B","MOT_C","MOT_D","MOT_E","MOT_F","MOT_G","MOT_H","MOT_J","MOT_08","MOT_09","MOT_10","MOT_11","MOT_12","MOT_13","MOT_14","MOT_15","MOT_16","MOT_17","MOT_18","MOT_19","MOT_95","DISTRICTE_RES","SEXE","EDAT1699_1A4","NACIO_ACT_UE","NIVELLSOCIO_LLAR","HAB_PERS_1A4","AMBIT","CONSUM","I_ATRACCIO","PES"
100017,"ROBATORI/S AL SEU DOMICILI","PRIMER CAS","SÍ",,,"SÍ","BARCELONA","BARCELONA","SANTS - MONTJUÏC","LA MARINA DE PORT","LA MARINA DE PORT",,,,,,"6","NO, PERÒ SAP QUI HO VA FER","SÍ, ERA UN AMIC/GA, UN CONEGUT/DA","NO, NO HO VA DENUNCIAR","SÍ","SÍ","SÍ","NO","SÍ","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","SANTS-MONTJUÏC","DONA","DE 65 ANYS I MÉS","ESPANYOLA","MITJÀ","DUES","DOMICILI","SÍ","MATEIX DISTRICTE",1.31070822636573
100017,"ROBATORI/S AL SEU DOMICILI","SEGON CAS","NO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SANTS-MONTJUÏC","DONA","DE 65 ANYS I MÉS","ESPANYOLA","MITJÀ","DUES","DOMICILI","SÍ",,1.31070822636573
100024,"ROBATORI/S DE LA BOSSA/CARTERA/ALTRES OBJECTES SENSE AMENACES O VIOLÈNCIA","PRIMER CAS","SÍ",,,,"BARCELONA","BARCELONA","TRANSPORT PÚBLIC (DINS VAGÓ O AUTOBÚS, ESTACIÓ METRO/FCG)","TRANSPORT PÚBLIC (DINS VAGÓ O AUTOBÚS, ESTACIÓ METRO/FCG)","TRANSPORT PÚBLIC (DINS VAGÓ O AUTOBÚS, ESTACIÓ METRO/FCG)","DURANT EL TRAJECTE, DINS UN VAGÓ DE METRO, DE FGC, DE TRAMVIA, DE TREN O D'AUTOBÚS",,"METRO","METRO - LÍNIA 4 (GROGA)","L4","5","NO, I NO SAP QUI HO VA FER",,"NO, NO HO VA DENUNCIAR","NO","NO","NO","NO","SÍ","SÍ","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","SANTS-MONTJUÏC","HOME","DE 65 ANYS I MÉS","ESPANYOLA","MITJÀ","DUES","SEGURETAT PERSONAL","SÍ","TRANSPORT PÚBLIC (DINS VAGÓ O AUTOBÚS, ESTACIÓ METRO/FCG)",1.34868358188038
100029,"ROBATORI/S D’ACCESSORIS O PARTS DEL VEHICLE","PRIMER CAS","NO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"L'EIXAMPLE","HOME","DE 65 ANYS I MÉS","ESPANYOLA","MITJÀ","DUES","VEHICLE","SÍ",,1.97876355642681
100029,"ROBATORI/S A LA SEGONA RESIDÈNCIA","PRIMER CAS","SÍ",,,,"VILANOVA I LA GELTRÚ","FORA DE L'AMB",,,,,,,,,"10 = LI VA AFECTAR MOLTÍSSIM","NO, I NO SAP QUI HO VA FER",,"SÍ, HO VA DENUNCIAR I VA FIRMAR UN DOCUMENT",,,,,,,,,,,,,,,,,,,,,,,"L'EIXAMPLE","HOME","DE 65 ANYS I MÉS","ESPANYOLA","MITJÀ","DUES","SEGONA RESIDÈNCIA","SÍ","FORA DE BARCELONA",1.97876355642681
100029,"INTENT/S DE ROBATORI A LA SEGONA RESIDÈNCIA","PRIMER CAS","SÍ",,,,"VILANOVA I LA GELTRÚ","FORA DE L'AMB",,,,,,,,,"10 = LI VA AFECTAR MOLTÍSSIM","NO, I NO SAP QUI HO VA FER",,"SÍ, HO VA DENUNCIAR PERÒ NO VA ARRIBAR A FIRMAR CAP DOCUMENT","NO","NO","NO","NO","SÍ","SÍ","SÍ","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","L'EIXAMPLE","HOME","DE 65 ANYS I MÉS","ESPANYOLA","MITJÀ","DUES","SEGONA RESIDÈNCIA","NO","FORA DE BARCELONA",1.97876355642681
100031,"ROBATORI/S DEL TELÈFON MÒBIL","PRIMER CAS","SÍ",,,,"BARCELONA","BARCELONA","TRANSPORT PÚBLIC (DINS VAGÓ O AUTOBÚS, ESTACIÓ METRO/FCG)","TRANSPORT PÚBLIC (DINS VAGÓ O AUTOBÚS, ESTACIÓ METRO/FCG)","TRANSPORT PÚBLIC (DINS VAGÓ O AUTOBÚS, ESTACIÓ METRO/FCG)","DURANT EL TRAJECTE, DINS UN VAGÓ DE METRO, DE FGC, DE TRAMVIA, DE TREN O D'AUTOBÚS",,"METRO","METRO - LÍNIA 1 (VERMELLA)","L1","5","SÍ","NO EL/LA CONEIXIA","NO, NO HO VA DENUNCIAR","SÍ","NO","SÍ","SÍ","SÍ","SÍ","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","SANT ANDREU","HOME","DE 65 ANYS I MÉS","ESPANYOLA","MITJÀ","DUES","SEGURETAT PERSONAL","SÍ","TRANSPORT PÚBLIC (DINS VAGÓ O AUTOBÚS, ESTACIÓ METRO/FCG)",1.07152731075039
100036,"CÀRRECS INDEGUTS A LA TARGETA BANCÀRIA O EXTRACCIÓ DE COMPTES BANCARIS","PRIMER CAS","SÍ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SARRIÀ-SANT GERVASI","DONA","DE 65 ANYS I MÉS","ESPANYOLA","MITJÀ","DUES","SEGURETAT PERSONAL","SÍ",,1.03494745407629
100041,"ROBATORI/S DE LA BOSSA/CARTERA/ALTRES OBJECTES SENSE AMENACES O VIOLÈNCIA","PRIMER CAS","SÍ",,,,"HOSPITALET DE LLOBREGAT, L'","RESTA MUNICIPIS DE L'AMB",,,"MUNICIPIS DE L'AMB","A UN BAR O RESTAURANT",,,,,"10 = LI VA AFECTAR MOLTÍSSIM","NO, PERÒ SAP QUI HO VA FER","NO EL/LA CONEIXIA","SÍ, HO VA DENUNCIAR I VA FIRMAR UN DOCUMENT",,,,,,,,,,,,,,,,,,,,,,,"SANTS-MONTJUÏC","DONA","DE 65 ANYS I MÉS","ESPANYOLA","MITJÀ","VIU SOL/A","SEGURETAT PERSONAL","SÍ","FORA DE BARCELONA",1.31070822636573
100041,"CÀRRECS INDEGUTS A LA TARGETA BANCÀRIA O EXTRACCIÓ DE COMPTES BANCARIS","PRIMER CAS","SÍ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SANTS-MONTJUÏC","DONA","DE 65 ANYS I MÉS","ESPANYOLA","MITJÀ","VIU SOL/A","SEGURETAT PERSONAL","SÍ",,1.31070822636573
100053,"INTENT/S DE ROBATORI DE LA BOSSA/CARTERA/ALTRES OBJECTES SENSE AMENACES O VIOLÈNCIA","PRIMER CAS","SÍ",,,,"BARCELONA","BARCELONA","TRANSPORT PÚBLIC (DINS VAGÓ O AUTOBÚS, ESTACIÓ METRO/FCG)","TRANSPORT PÚBLIC (DINS VAGÓ O AUTOBÚS, ESTACIÓ METRO/FCG)","TRANSPORT PÚBLIC (DINS VAGÓ O AUTOBÚS, ESTACIÓ METRO/FCG)","DURANT EL TRAJECTE, DINS UN VAGÓ DE METRO, DE FGC, DE TRAMVIA, DE TREN O D'AUTOBÚS",,"AUTOBÚS","AUTOBÚS","AUTOBÚS","5","NO, I NO SAP QUI HO VA FER",,"NO, NO HO VA DENUNCIAR","NO","NO","NO","NO","NO","SÍ","NO","SÍ","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","SÍ","NO","NO","SARRIÀ-SANT GERVASI","HOME","DE 65 ANYS I MÉS","ESPANYOLA","MITJÀ","DUES","SEGURETAT PERSONAL","NO","TRANSPORT PÚBLIC (DINS VAGÓ O AUTOBÚS, ESTACIÓ METRO/FCG)",1.01193153224317
100060,"INTENT/S D'ATRACAMENT AMB AMENACES O VIOLÈNCIA","PRIMER CAS","SÍ",,,,"BARCELONA","BARCELONA","SARRIÀ - SANT GERVASI","SANT GERVASI-GALVANY","SANT GERVASI-GALVANY","A UN CARRER TRANSITAT",,,,,"8","SÍ","NO EL/LA CONEIXIA","NO, NO HO VA DENUNCIAR","SÍ","SÍ","SÍ","NO","SÍ","SÍ","SÍ","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","SARRIÀ-SANT GERVASI","DONA","DE 65 ANYS I MÉS","ESPANYOLA","MITJÀ","VIU SOL/A","SEGURETAT PERSONAL","NO","MATEIX DISTRICTE",1.03494745407629
100073,"INTENT/S DE ROBATORI DE LA BOSSA/CARTERA/ALTRES OBJECTES SENSE AMENACES O VIOLÈNCIA","PRIMER CAS","NO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"HORTA-GUINARDÓ","DONA","DE 65 ANYS I MÉS","ESPANYOLA","MITJÀ","DUES","SEGURETAT PERSONAL","NO",,1.25549038406411
100076,"ALTRA ESTAFA O FRAU","PRIMER CAS","SÍ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"HORTA-GUINARDÓ","HOME","DE 65 ANYS I MÉS","ESPANYOLA","MITJÀ","NO CONTESTA","SEGURETAT PERSONAL","SÍ",,1.24544805659477
100076,"ALTRA ESTAFA O FRAU","SEGON CAS","SÍ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"HORTA-GUINARDÓ","HOME","DE 65 ANYS I MÉS","ESPANYOLA","MITJÀ","NO CONTESTA","SEGURETAT PERSONAL","SÍ",,1.24544805659477
100076,"ALTRA ESTAFA O FRAU","TERCER CAS","SÍ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"HORTA-GUINARDÓ","HOME","DE 65 ANYS I MÉS","ESPANYOLA","MITJÀ","NO CONTESTA","SEGURETAT PERSONAL","SÍ",,1.24544805659477
100083,"ROBATORI/S D’ACCESSORIS O PARTS DEL VEHICLE","PRIMER CAS","NO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SANT ANDREU","HOME","DE 65 ANYS I MÉS","ESPANYOLA","MITJÀ","DUES","VEHICLE","SÍ",,1.07152731075039
100087,"ROBATORI/S DEL TELÈFON MÒBIL","PRIMER CAS","NO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SANTS-MONTJUÏC","HOME","DE 65 ANYS I MÉS","ESPANYOLA","MITJÀ","DUES","SEGURETAT PERSONAL","SÍ",,1.34868358188038
100097,"ROBATORI/S DE LA BOSSA/CARTERA/ALTRES OBJECTES SENSE AMENACES O VIOLÈNCIA","PRIMER CAS","SÍ",,,,"BARCELONA","BARCELONA","TRANSPORT PÚBLIC (DINS VAGÓ O AUTOBÚS, ESTACIÓ METRO/FCG)","TRANSPORT PÚBLIC (DINS VAGÓ O AUTOBÚS, ESTACIÓ METRO/FCG)","TRANSPORT PÚBLIC (DINS VAGÓ O AUTOBÚS, ESTACIÓ METRO/FCG)","DURANT EL TRAJECTE, DINS UN VAGÓ DE METRO, DE FGC, DE TRAMVIA, DE TREN O D'AUTOBÚS",,"METRO","METRO - LÍNIA 3 (VERDA)","L3","4","NO, PERÒ SAP QUI HO VA FER","NO EL/LA CONEIXIA","SÍ, HO VA DENUNCIAR I VA FIRMAR UN DOCUMENT",,,,,,,,,,,,,,,,,,,,,,,"SARRIÀ-SANT GERVASI","HOME","DE 65 ANYS I MÉS","ESPANYOLA","MITJÀ","VIU SOL/A","SEGURETAT PERSONAL","SÍ","TRANSPORT PÚBLIC (DINS VAGÓ O AUTOBÚS, ESTACIÓ METRO/FCG)",1.01193153224317
